id,answer,base_pred,improved_pred
2,1,1,1
21,0,0,0
31,0,1,1
46,1,1,1
47,0,0,0
49,0,0,0
56,1,0,0
58,1,0,0
60,1,1,1
66,1,1,1
74,1,1,1
79,1,1,1
106,1,1,1
109,0,0,0
115,1,1,1
117,1,1,1
141,1,0,0
148,0,0,0
158,0,0,0
171,0,0,0
185,0,0,0
186,0,0,0
218,0,0,0
230,1,1,1
231,1,1,1
234,1,1,1
237,1,1,1
238,0,0,0
244,0,0,0
251,1,1,1
271,0,0,0
278,1,0,0
290,1,1,1
293,0,0,0
314,1,1,1
322,1,1,1
324,0,1,1
328,1,1,1
340,0,0,0
344,1,1,1
356,0,0,0
357,1,1,1
358,0,1,1
374,1,1,1
382,1,0,0
383,1,1,1
386,1,1,1
390,0,1,1
402,1,1,1
408,0,0,0
409,1,1,1
413,1,1,1
416,0,1,1
423,1,1,1
432,0,0,0
441,1,0,0
454,0,1,1
459,0,0,0
469,1,1,0
475,0,0,0
477,1,1,1
478,0,0,0
480,1,0,0
481,0,0,0
483,0,0,0
486,0,1,1
491,0,0,0
493,1,1,1
500,1,0,0
519,1,0,1
520,0,0,0
527,0,0,0
552,0,0,0
553,0,1,1
563,0,1,1
565,1,1,1
566,0,0,0
568,0,0,0
572,0,0,0
577,0,1,0
585,0,0,0
587,0,0,0
592,1,1,1
600,0,1,1
608,1,1,1
610,0,0,0
611,1,1,1
613,0,0,1
614,0,0,0
615,1,1,1
616,1,1,1
620,0,1,1
622,1,1,1
625,0,0,0
631,1,0,0
634,1,0,0
653,1,0,0
655,1,0,0
656,1,0,0
657,0,0,0
677,0,0,0
688,1,0,0
693,0,1,1
700,1,1,1
704,1,1,1
706,1,0,0
711,0,0,0
713,0,0,0
720,0,1,1
721,1,0,0
736,0,1,1
749,0,1,1
759,1,1,1
769,0,1,1
772,1,1,1
775,0,0,0
783,1,1,1
796,0,0,0
798,1,1,1
806,0,0,0
816,0,1,1
820,0,0,0
826,1,0,0
830,1,0,0
836,1,1,1
839,1,1,1
842,0,0,0
843,0,0,0
855,1,1,1
859,0,0,0
860,1,1,1
872,1,1,1
888,0,0,0
890,0,1,1
894,0,0,0
895,1,1,1
900,0,0,0
904,0,0,0
910,0,1,1
914,0,0,0
930,0,0,0
931,1,1,1
939,0,0,0
964,0,0,0
970,1,1,1
974,0,1,1
982,0,0,0
988,0,1,1
989,1,0,0
997,1,1,1
1032,1,1,1
1033,0,0,0
1046,0,0,0
1047,0,1,1
1058,0,1,1
1059,1,0,1
1069,1,1,1
1071,0,0,0
1082,1,1,1
1092,1,0,0
1103,0,1,1
1107,0,0,0
1112,0,1,1
1113,1,1,1
1118,0,0,0
1121,1,1,1
1122,0,0,0
1150,1,1,1
1164,0,0,0
1167,0,1,1
1172,1,1,1
1177,1,1,1
1183,0,0,0
1187,1,0,0
1190,1,1,1
1195,0,0,0
1203,0,0,0
1209,1,1,1
1231,1,0,0
1239,0,0,0
1250,0,1,0
1253,1,1,1
1254,1,1,1
1270,0,1,0
1289,1,1,0
1292,1,1,1
1309,1,0,0
1311,0,0,0
1341,1,1,1
1354,0,0,0
1355,1,1,1
1362,1,0,0
1363,1,0,0
1367,1,1,1
1372,0,1,1
1376,0,1,0
1378,0,0,0
1381,0,1,0
1383,1,0,0
1395,1,0,0
1412,1,1,1
1429,0,1,1
1436,0,1,1
1437,0,1,0
1454,0,0,0
1465,1,0,0
1467,0,1,0
1475,1,1,1
1477,0,0,0
1481,0,0,0
1496,1,0,0
1504,1,1,1
1515,1,0,0
1520,0,0,0
1523,1,0,0
1530,0,0,0
1536,1,0,0
1537,1,0,0
1559,0,0,0
1562,1,0,0
1563,1,0,0
1569,1,1,1
1579,1,1,1
1581,1,1,1
1592,1,1,1
1605,0,0,0
1608,0,1,1
1612,0,1,1
1633,1,1,1
1644,1,1,1
1647,1,0,0
1653,1,0,0
1657,0,0,0
1662,0,0,1
1692,0,0,0
1712,1,1,1
1715,1,0,0
1722,0,0,0
1737,0,1,1
1739,0,1,1
1748,0,1,1
1757,1,0,0
1774,0,0,0
1777,0,0,0
1782,0,0,0
1787,1,1,1
1799,0,0,1
